"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2020,13088,135668409,18208704,"",11-MAR-21,01-DEC-20,"",0,6,,0,"C","X",97321286
2020,13088,135668413,18208704,"",11-MAR-21,01-DEC-20,"",7,6,,0,"C","X",97321304
2020,13088,135668417,18208704,"",11-MAR-21,01-DEC-20,"",12,6,,0,"C","X",97321319
2020,13088,135668420,18208704,"",11-MAR-21,01-DEC-20,"",14,6,,0,"C","X",97321334
2020,13088,135668421,18208704,"",11-MAR-21,01-DEC-20,"",13,6,,0,"C","X",97321346
2020,13088,135668425,18208704,"",11-MAR-21,01-DEC-20,"",18,6,,0,"C","X",97321361
2020,13088,135668427,18208704,"",11-MAR-21,02-DEC-20,"",2,6,,0,"C","X",97321373
2020,13088,135668434,18208704,"",11-MAR-21,02-DEC-20,"",14,6,,0,"C","X",97321403
2020,13088,135668438,18208704,"",11-MAR-21,02-DEC-20,"",6,6,,0,"C","X",97321418
2020,13088,135668442,18208704,"",11-MAR-21,02-DEC-20,"",17,6,,0,"C","X",97321436
2020,13088,135668444,18208704,"",11-MAR-21,02-DEC-20,"",4,6,,0,"C","X",97321444
2020,13088,135668447,18208704,"",11-MAR-21,02-DEC-20,"",23,6,,0,"C","X",97321461
2020,13088,135668450,18208704,"",11-MAR-21,03-DEC-20,"",20,6,,0,"C","X",97321475
2020,13088,135668452,18208704,"",11-MAR-21,03-DEC-20,"",20,6,,0,"C","X",97321477
2020,13088,135668454,18208704,"",11-MAR-21,03-DEC-20,"",11,6,,0,"C","X",97321490
2020,13088,135668460,18208704,"",11-MAR-21,03-DEC-20,"",16,6,,0,"C","X",97321499
2020,13088,135668464,18208704,"",11-MAR-21,03-DEC-20,"",23,6,,0,"C","X",97321512
2020,13088,135668465,18208704,"",11-MAR-21,03-DEC-20,"",23,6,,0,"C","X",97325971
2020,13088,135668472,18208704,"",11-MAR-21,04-DEC-20,"",3,6,,0,"C","X",97321545
2020,13088,135668474,18208704,"",11-MAR-21,04-DEC-20,"",13,6,,0,"C","X",97321551
2020,13088,135668479,18208704,"",11-MAR-21,04-DEC-20,"",17,6,,0,"C","X",97321570
2020,13088,135668481,18208704,"",11-MAR-21,04-DEC-20,"",20,6,,0,"C","X",97321581
2020,13088,135668484,18208704,"",11-MAR-21,05-DEC-20,"",12,6,,0,"C","X",97321595
2020,13088,135668487,18208704,"",11-MAR-21,05-DEC-20,"",4,6,,0,"C","X",97321604
2020,13088,135668491,18208704,"",11-MAR-21,05-DEC-20,"",3,6,,0,"C","X",97321616
2020,13088,135668494,18208704,"",11-MAR-21,05-DEC-20,"",7,6,,0,"C","X",97321625
2020,13088,135668499,18208704,"",11-MAR-21,05-DEC-20,"",21,6,,0,"C","X",97326639
2020,13088,135668501,18208704,"",11-MAR-21,05-DEC-20,"",21,6,,0,"C","X",97326644
2020,13088,135668504,18208704,"",11-MAR-21,05-DEC-20,"",23,6,,0,"C","X",97326656
2020,13088,135668507,18208704,"",11-MAR-21,06-DEC-20,"",7,6,,0,"C","X",97326665
2020,13088,135668509,18208704,"",11-MAR-21,05-DEC-20,"",0,6,,0,"C","X",97326670
2020,13088,135668519,18208704,"",11-MAR-21,07-DEC-20,"",7,6,,0,"C","X",97326707
2020,13088,135668522,18208704,"",11-MAR-21,04-DEC-20,"",12,6,,0,"C","X",97326716
2020,13088,135668526,18208704,"",11-MAR-21,07-DEC-20,"",18,6,,0,"C","X",97326728
2020,13088,135668528,18208704,"",11-MAR-21,07-DEC-20,"",11,6,,0,"C","X",97326734
2020,13088,135668530,18208704,"",11-MAR-21,08-DEC-20,"",17,6,,0,"C","X",97326745
2020,13088,135668533,18208704,"",11-MAR-21,08-DEC-20,"",23,6,,0,"C","X",97326755
2020,13088,135668534,18208704,"",11-MAR-21,07-DEC-20,"",10,6,,0,"C","X",97326757
2020,13088,135668537,18208704,"",11-MAR-21,09-DEC-20,"",21,6,,0,"C","X",97326765
2020,13088,135668538,18208704,"",11-MAR-21,10-DEC-20,"",7,6,,0,"C","X",97326769
2020,13088,135668540,18208704,"",11-MAR-21,09-DEC-20,"",17,6,,0,"C","X",97326775
2020,13088,135668547,18208704,"",11-MAR-21,10-DEC-20,"",12,6,,0,"C","X",97326802
2020,13088,135668548,18208704,"",11-MAR-21,10-DEC-20,"",17,6,,0,"C","X",97326808
2020,13088,135668550,18208704,"",11-MAR-21,10-DEC-20,"",23,6,,0,"C","X",97326814
2020,13088,135668551,18208704,"",11-MAR-21,11-DEC-20,"",14,6,,0,"C","X",97331754
2020,13088,135668553,18208704,"",11-MAR-21,12-DEC-20,"",5,6,,0,"C","X",97326825
2020,13088,135668554,18208704,"",11-MAR-21,11-DEC-20,"",17,6,,0,"C","X",97326827
2020,13088,135668556,18208704,"",11-MAR-21,11-DEC-20,"",20,6,,0,"C","X",97326835
2020,13088,135668558,18208704,"",11-MAR-21,11-DEC-20,"",17,6,,0,"C","X",97326838
2020,13088,135668559,18208704,"",11-MAR-21,11-DEC-20,"",22,6,,0,"C","X",97326841
2020,13088,135668560,18208704,"",11-MAR-21,12-DEC-20,"",12,6,,0,"C","X",97326844
2020,13088,135668566,18208704,"",11-MAR-21,13-DEC-20,"",1,6,,0,"C","X",97326859
2020,13088,135668569,18208704,"",11-MAR-21,12-DEC-20,"",21,6,,0,"C","X",97326866
2020,13088,135668571,18208704,"",11-MAR-21,13-DEC-20,"",15,6,,0,"C","X",97326873
2020,13088,135668575,18208704,"",11-MAR-21,13-DEC-20,"",0,6,,0,"C","X",97326885
2020,13088,135668580,18208704,"",11-MAR-21,13-DEC-20,"",20,6,,0,"C","X",97326908
