"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
129392020,12939,2020,"NY0010100","NY0010100","","N","N",,"S","ALBANY","ALBANY CITY PD ALBANY","Albany","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",96318,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",272,34,306,23,42,65,0,0,01-JAN-19,,,,,,"N","ALBANY","Albany-Schenectady-Troy, NY","Y","Y","Y"
129432020,12943,2020,"NY0012100","NY0012100","","N","N",,"S","ALTAMONT VILLAGE","ALTAMONT VILLAGE PD ALTAMONT","Altamont Village","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",1664,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-JAN-19,,,,,,"N","ALBANY","Albany-Schenectady-Troy, NY","Y","Y","Y"
129472020,12947,2020,"NY0015200","NY0015200","","N","N",,"S","GUILDERLAND TOWN","GUILDERLAND TOWN PD GUILDERLAND","Guilderland Town","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",34103,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",34,6,40,3,10,13,0,0,01-JAN-19,,,,,,"N","ALBANY","Albany-Schenectady-Troy, NY","Y","Y","Y"
129682020,12968,2020,"NY0030000","NY0030000","","N","N",,"I","BROOME","BROOME CO SHERIFF'S DEPARTMENT BINGHAMTON","Broome","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","County",86722,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-19,01-JAN-20,01-JAN-20,01-JAN-20,01-JAN-20,01-JAN-20,"N","BROOME","Binghamton, NY","Y","Y","Y"
129692020,12969,2020,"NY0030100","NY0030100","","N","N",,"I","BINGHAMTON","BINGHAMTON CITY PD BINGHAMTON","Binghamton","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",44083,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",,,,,,,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-20,01-JAN-20,01-JAN-20,"N","BROOME","Binghamton, NY","Y","Y","Y"
129702020,12970,2020,"NY0030200","NY0030200","","N","N",,"I","ENDICOTT VILLAGE","ENDICOTT VILLAGE PD ENDICOTT","Endicott Village","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",12443,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","BROOME","Binghamton, NY","Y","Y","Y"
129712020,12971,2020,"NY0030300","NY0030300","","N","N",,"I","JOHNSON CITY VILLAGE","JOHNSON CITY VILLAGE PD JOHNSON CITY","Johnson City Village","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",14055,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-20,01-JAN-20,01-JAN-20,"N","BROOME","Binghamton, NY","Y","Y","Y"
129762020,12976,2020,"NY0036400","NY0036400","","N","N",,"I","VESTAL TOWN","VESTAL TOWN PD VESTAL","Vestal Town","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",28639,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",,,,,,,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","BROOME","Binghamton, NY","Y","Y","Y"
129792020,12979,2020,"NY0040100","NY0040100","","N","N",,"S","OLEAN","OLEAN CITY PD OLEAN","Olean","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",13334,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",33,1,34,1,6,7,0,0,01-JAN-19,,,,,,"N","CATTARAUGUS","Non-MSA","Y","Y","Y"
129922020,12992,2020,"NY0050000","NY0050000","","N","N",,"I","CAYUGA","CAYUGA CO SHERIFF'S DEPARTMENT AUBURN","Cayuga","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","County",45642,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",25,0,25,3,8,11,0,0,01-JAN-19,01-DEC-19,01-DEC-19,01-JUL-20,01-JUL-20,01-JUL-20,"N","CAYUGA","Non-MSA","Y","Y","Y"
129932020,12993,2020,"NY0050100","NY0050100","","N","N",,"I","AUBURN","AUBURN CITY PD AUBURN","Auburn","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","City",26012,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",,,,,,,0,0,01-JAN-19,01-JAN-20,01-JAN-20,01-JAN-20,01-JAN-20,01-JAN-20,"N","CAYUGA","Non-MSA","Y","Y","Y"
129992020,12999,2020,"NY0060000","NY0060000","","N","N",,"I","CHAUTAUQUA","CHAUTAUQUA CO SHERIFF'S DEPARTMENT MAYVILLE","Chautauqua","","A",38,"New York","NY","NY","2","Middle Atlantic","1","Northeast","Region I","County",56186,23384,"NYUCR0001","New York State Division of Criminal Justice Services Office of Justice Research and Performance","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",62,28,90,6,17,23,0,0,01-JAN-19,01-JUL-20,01-JUL-20,01-AUG-20,01-AUG-20,01-AUG-20,"N","CHAUTAUQUA","Non-MSA","Y","Y","Y"
